,Unnamed: 0,area,PT_NDVI_0,LT_mag,PT_NDVI_2,PT_NDVI_1,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_4,PT_NDVI_3,PT_NDMI_1,PT_NDMI_0,PT_NDVI_5,PT_NDMI_3,PT_NDMI_2,PT_NDMI_5,PT_NDMI_4,label,Area,Perimeter,P/A,P/sqrt(A),Max.Distanc,D/A,D/sqrt(A),Shape Index,NDVI_slope,NDVI_intercept,NDVI_rvalue,NDVI_pvalue,NDMI_slope,NDMI_intercept,NDMI_rvalue,NDMI_pvalue,NBR_slope,NBR_intercept,NBR_rvalue,NBR_pvalue
122,1090,98646.177631,0.55780742058,307.13265306,0.70574385464,0.5682029469600001,0.4810865724,0.51541291311,0.5820386162,0.60236690118,0.62287580331,0.6096430019,0.61267511563,0.6758411871600001,0.19017291672000003,0.13274053226,0.54182342632,0.28718723449,0.27506818606,0.33780379910999997,0.30754479321999995,2.0,98646.177631,0.019403610137,1500.9369545,5.396628160800001,0.006109864841100001,472.61936631,1.6993058728000001,1.5223606973,-0.01458277802900001,0.6646056402290001,-0.33181488416771365,0.5854061090699011,0.03277383719399998,0.18123387433800006,0.9366289446655715,0.018966988781894775,0.022929736468999998,0.517678237733,0.8555020974980406,0.06448841248782819
123,1102,47721.667975,0.51730066257,310.18181818,0.64715032788,0.5611638921100001,0.39107133746,0.42553790106,0.5135489814399999,0.5159444910600001,0.54083305071,0.5654315668,0.62361015502,0.6222888196199999,0.12277095432,0.075490002956,0.63041088721,0.21245042901,0.22199718707,0.27255153393000003,0.23812051976,2.0,47721.667975,0.014552707603,2357.3539226999997,5.8571223611,0.0040424187785,654.82053408,1.6269784336000002,1.6522637129,0.011495381733999988,0.5824386711660001,0.5557669585173652,0.33071176221042364,0.03156844919100001,0.118872777245,0.8965456567609721,0.039318787578142084,0.030707140074999997,0.42013777798900004,0.9183883195937723,0.02764223435136207
124,1105,38180.425733,0.5209028633199999,270.78571429,0.62601789394,0.53519218678,0.37066305296999996,0.37249570384,0.47248209487,0.4534557356600001,0.5003112922699999,0.49536233965000004,0.47713452797,0.60424407703,0.066857310154,0.043109523355,0.6158710551600001,0.15304986234,0.17461793540999998,0.18417624581,0.20335794481,2.0,38180.425733,0.010779783409,2182.7351136,4.8507125007,0.0036655226533,742.2101819000001,1.6494205756,1.3683607328,0.0012474370790000135,0.567949636939,0.030958366741216266,0.9605888805400313,0.026337788071200005,0.0773984954912,0.7822024327610324,0.11794786611663743,0.027356246902,0.37675269255199995,0.835361437301657,0.07818153982901022
125,1114,35165.465658,0.55567111477,275.31818182,0.4267938279,0.50627345604,0.47786207048,0.41576010604,0.32568673813,0.32328861384,0.54363207543,0.5609246218,0.5972932,0.40441658927,0.10212259737,0.12748107988,0.63941558202,0.13629518047,0.14982557793,0.24920844369000003,0.22547324356999998,2.0,35165.465658,0.010779783409,2355.9680590999997,5.0395263068,0.0035034296081000002,765.68961921,1.6378460497,1.4216241241999998,0.04367836240600002,0.3838034438279999,0.6712883811275397,0.2147281666384896,0.036981935828,0.061639201122,0.9403068461853941,0.017349753535094083,0.050827436882000004,0.281376120402,0.7018167505422453,0.18647054179585087
126,1116,22883.424794,0.56682925544,246.07692308,0.59887818011,0.56226106242,0.48441040006999997,0.48075636131000005,0.49591289788000004,0.31357956223,0.57579956404,0.59936773777,0.60625007821,0.39842017539999997,0.14325917549,0.13652315282,0.6639051408300001,0.11052042809,0.18982773874000003,0.28642263536,0.26073360988,2.0,22883.424794,0.0086238267276,2896.1168336,4.9975603804,0.0028647667368000003,962.06700726,1.6601498609999998,1.4097857549000001,0.02106600549200002,0.502744910918,0.3314977913732998,0.5857869928571656,0.035723279088,0.090982880248,0.753615915861109,0.1412578743251928,0.03171094190799998,0.397950398922,0.4461468601557218,0.4514000372236481
127,1117,114997.44387,0.50842136969,320.08396947,0.57128802173,0.48363830988000006,0.39098766518,0.35411736174,0.41900519376,0.21421814102000003,0.51069829866,0.49135197134999997,0.58362239541,0.27483068239999997,0.059921968551,0.073276933581,0.61343524525,0.09875437799900001,0.14630833467,0.18733369358,0.19748738947,2.0,114997.44387,0.019403610137,1296.9261063,5.0164777029000005,0.0056078190526,374.82338996,1.4498074864,1.4151222330000002,0.027192824441999996,0.423784457608,0.31240158734676715,0.608806041699755,0.030600250485799996,0.04616040139659999,0.8273970626029477,0.08381654628445435,0.036616232411999995,0.28802949607000006,0.48263680380016283,0.41025699683239963
128,1118,15647.336218,0.54034766768,268.64285714,0.6263375346100001,0.56452716887,0.35726194296999997,0.37172445123000003,0.45007138486000003,0.48138826873,0.50553423486,0.51695902752,0.61662404026,0.58188914188,0.073448184379,0.02955175434,0.6613539755300001,0.17098065625,0.1660484323,0.20622407592,0.1953227983,2.0,15647.336218,0.0075458483866,3710.6496931,5.291502622099999,0.0023182800799,1140.0077004,1.6256866681,1.4927053304,0.018394011897000007,0.554964336539,0.763380590728083,0.13315592640621518,0.029482614908200002,0.0739569847052,0.8887797980997783,0.04377519659090863,0.034593200257999994,0.361355872666,0.9403090098731827,0.017348815976608797
129,1125,26826.547375,0.5342850188399999,254.11111111,0.46331196775,0.4844581373,0.43418661691000004,0.43954533276,0.67132617533,0.5119771709000001,0.5237186892600001,0.50983253804,0.50027890565,0.53682759528,0.11506240265,0.094367952115,0.62128901109,0.18696277325,0.3889117719,0.20925214715999998,0.21837349204999998,2.0,26826.547375,0.0086238267276,2473.7664621,4.6188021535,0.0027746165746,795.90576714,1.4860462083000001,1.3029400317,0.031062868548000007,0.4280445177700001,0.791537008013226,0.11061349587484262,0.0017841209169999956,0.218360154651,0.027971359213959924,0.9643904039527714,-0.0007033075510000097,0.533389903911,-0.013078608935194485,0.983348272652325
130,1129,26603.11756,0.54913668521,243.29411765,0.61494471009,0.49461426523999996,0.50144868158,0.5457063367,0.52443215437,0.5882694845399999,0.6254974144200001,0.63134230673,0.55021315068,0.60292320202,0.20616945344999998,0.16127946988,0.6010072057399999,0.27755608036999996,0.251094553,0.33714153183,0.31722276968,2.0,26603.11756,0.009162815898,2628.3768659,4.9074772881,0.0030130410608,864.29843276,1.6137430609,1.3843737837,0.014805432158999987,0.5283242102769999,0.4658102883642271,0.42911857453181623,0.032807237344000005,0.17941516563399995,0.9928039408818157,0.0007319924553812226,0.02723372001100001,0.5013483793190001,0.9082058163645665,0.03292187719138687
131,1136,105848.74436,0.54315513404,269.44444444,0.6475097490199999,0.60319512802,0.43330417611999994,0.45732873631000004,0.54541494381,0.54873073866,0.53747670782,0.5647155708,0.53876554342,0.6053083823,0.12488582134000001,0.09953659514900001,0.5972059437699999,0.22977728658000005,0.23567635405999998,0.29553765581,0.22503214371999997,2.0,105848.74436,0.020481588478000003,1476.4888830999998,5.4991670002,0.0079306537596,571.7096662,2.1293265164,1.5512863699000001,-0.012072257409999999,0.6346137215359999,-0.4912058446397478,0.4007273671200086,0.03306594586,0.12298401472199999,0.8510539373506578,0.06744168532763907,0.020683543298999997,0.468682709583,0.7747157995139257,0.12393114200045002
132,1137,30485.897012,0.57542753978,295.15789474,0.65788946477,0.6663801778399999,0.43347100018999996,0.51347383207,0.55703417117,0.55951944264,0.58165723844,0.61124269746,0.55257650831,0.64346447208,0.17696014059999998,0.0980167765,0.6457702560899999,0.23368002501,0.26012968258,0.31987043565,0.26647991186000003,2.0,30485.897012,0.010240794239000001,2563.7216061,5.123918954700001,0.0033334639214,834.51276133,1.6678783474,1.4454308506,-0.01465327999599999,0.6771760158060001,-0.5033734950146653,0.38728660388067165,0.029217081938000006,0.16377279332599998,0.8871152346665604,0.04474999553530903,0.022016079805000012,0.49853723694100005,0.9688820498058617,0.006558624051475286
133,1138,17751.790466,0.57685707696,250.27272727,0.67008804716,0.5633824504899999,0.49226325937,0.5230793980899999,0.6112177521,0.58925004676,0.6224410049600001,0.61511671543,0.60639360175,0.6313278749600001,0.19236164307,0.15175069425999999,0.62231162749,0.26882880507,0.30534942728,0.33887997921999996,0.30607998464,2.0,17751.790466,0.0064678700457,2782.9872698000004,4.2426406871,0.0023182800799,997.50673788,1.5206906325999998,1.1968268412,0.0054163908590000205,0.6024515477929999,0.22066917121132226,0.7213324944772319,0.029376722965999996,0.194169798958,0.8286338637815809,0.08293357950898103,0.019529788754000035,0.5336316172059999,0.7609038072910427,0.13519755480030074
134,1140,17182.315723,0.6019795575399999,249.72727273,0.68884680925,0.65057904297,0.46189471118000003,0.51178140506,0.5889782348,0.5663784492399999,0.60502879274,0.61431416004,0.56043340698,0.6432320475600001,0.16700206024,0.1078913636,0.6392395208,0.24690756634,0.27588664188,0.31903836611999997,0.28317069430999997,2.0,17182.315723,0.007006859216100001,3112.1578071,4.6697378527,0.0023025627456,1022.7033831,1.5345483732,1.3173087272,-0.015109244660999999,0.6817938994949999,-0.5099891565357689,0.3800246005654706,0.031135666418999994,0.16499406652100002,0.8608359903797208,0.061002029279950666,0.022111606789999984,0.510961388006,0.8550578443621404,0.0647815083044541
