,PT_NDMI_0,PT_NDMI_1,PT_NDMI_2,PT_NDMI_3,PT_NDMI_4,PT_NDMI_5,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_0,PT_NDVI_1,PT_NDVI_2,PT_NDVI_3,PT_NDVI_4,PT_NDVI_5,area,LT_mag,NDVI_slope,NDVI_intercept,NDVI_rvalue,NDVI_pvalue,NDMI_slope,NDMI_intercept,NDMI_rvalue,NDMI_pvalue,NBR_slope,NBR_intercept,NBR_rvalue,NBR_pvalue,label
55674,-0.04,0.11,0.13,0.19,0.24,0.27,0.25,0.38,0.27,0.47,0.43,0.57,0.41,0.46,0.34,0.61,0.44,0.61,382329.44,498.7,0.04,0.37200000000000005,0.5409358170398288,0.34650283591897285,0.04300000000000001,0.058999999999999976,0.9896177142406978,0.0012679315914880876,0.05399999999999999,0.2620000000000001,0.7704856964727219,0.12735061400327646,2.0
16677,0.08,0.17,0.14,0.21,0.13,0.11,0.36,0.39,0.46,0.54,0.46,0.43,0.45,0.27,0.57,0.62,0.59,0.52,38293.46,386.49,0.052000000000000005,0.358,0.5823977635968818,0.30283217465990303,-0.013000000000000005,0.191,-0.5272196186749785,0.3612672981489528,0.007999999999999997,0.4320000000000001,0.2297939958485703,0.7100129742649108,2.0
13584,0.09,0.18,0.17,0.24,0.3,0.28,0.29,0.52,0.5,0.61,0.65,0.63,0.41,0.63,0.59,0.7,0.71,0.74,7529.71,383.54,0.034,0.5720000000000001,0.868659421522913,0.05599969938254663,0.033000000000000015,0.13499999999999995,0.8974816838136951,0.0387920150417858,0.037000000000000005,0.47100000000000003,0.8653934989912276,0.05807160857569602,2.0
7711,0.35,0.36,-0.09,0.03,0.12,0.11,0.61,0.68,-0.01,0.23,0.39,0.38,0.34,0.52,0.09,0.43,0.57,0.48,5533.69,412.27,0.03999999999999999,0.29800000000000004,0.3320903209244785,0.5850752979980361,-0.029000000000000005,0.19300000000000006,-0.27787161266532706,0.6508100518567792,-0.02000000000000001,0.39399999999999996,-0.12546152794578425,0.8406774902252565,1.0
17562,0.12,0.14,0.11,0.13,0.07,0.09,0.41,0.39,0.37,0.42,0.32,0.38,0.44,0.37,0.42,0.45,0.32,0.44,18924.94,250.85,0.0040000000000000036,0.38799999999999996,0.11644450194791647,0.8520739949324613,-0.014000000000000002,0.15000000000000002,-0.7730206825239259,0.1252980866576916,-0.007000000000000001,0.397,-0.3034884893334421,0.6196030164821286,1.0
41804,-0.12,-0.13,-0.06,-0.01,-0.03,-0.06,0.16,0.13,0.18,0.26,0.27,0.21,0.29,0.29,0.33,0.39,0.43,0.39,1478139.57,438.77,0.030000000000000006,0.276,0.8547043234472846,0.0650150396862243,0.017,-0.109,0.5907908398283784,0.2941775248944429,0.025,0.135,0.6829479558851913,0.2038040060418997,2.0
7169,0.03,0.13,0.11,0.19,0.22,0.13,0.27,0.39,0.36,0.5,0.53,0.44,0.41,0.52,0.44,0.6,0.63,0.54,265344.39,483.87,0.02300000000000001,0.477,0.4912556531871377,0.4006721279877564,0.011000000000000001,0.12300000000000001,0.3725070038132279,0.5369186826407265,0.027000000000000003,0.363,0.5960395606792697,0.2887985136300855,2.0
31061,0.15,0.12,0.12,0.14,0.15,0.17,0.47,0.43,0.44,0.41,0.46,0.4,0.49,0.48,0.52,0.47,0.59,0.39,39901.05,290.58,-0.011000000000000001,0.523,-0.23778573564191435,0.7001195939169664,0.013000000000000005,0.10099999999999999,0.9689627902499088,0.006533194475465798,-0.003999999999999992,0.44,-0.2649064714130082,0.6666981131951053,2.0
40350,0.08,0.16,0.12,0.22,0.21,0.18,0.31,0.37,0.38,0.45,0.46,0.45,0.34,0.38,0.45,0.44,0.48,0.53,3748.59,346.71,0.033,0.3570000000000001,0.9479002328753531,0.014163289319489843,0.012999999999999998,0.139,0.5106882308569509,0.3792591475822976,0.02400000000000001,0.35,0.8775269089525568,0.050495328255716565,1.0
850,-0.0,-0.0,0.1,0.06,0.14,0.06,0.14,0.18,0.33,0.34,0.45,0.34,0.22,0.4,0.45,0.48,0.46,0.45,734571.57,809.32,0.011000000000000001,0.415,0.5896618941607874,0.2953378630827842,0.016,0.02400000000000001,0.4850712500726659,0.4075443578938428,0.04400000000000001,0.196,0.7225748039871484,0.1679185767201449,1.0
