,Unnamed: 0,area,PT_NDVI_0,LT_mag,PT_NDVI_2,PT_NDVI_1,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_4,PT_NDVI_3,PT_NDMI_1,PT_NDMI_0,PT_NDVI_5,PT_NDMI_3,PT_NDMI_2,PT_NDMI_5,PT_NDMI_4,label,NDVI_slope,NDVI_intercept,NDVI_rvalue,NDVI_pvalue,NDMI_slope,NDMI_intercept,NDMI_rvalue,NDMI_pvalue,NBR_slope,NBR_intercept,NBR_rvalue,NBR_pvalue
212,1761,15630.285284,0.5970958073933921,282.14285714,0.26431508362293205,0.49084224339042404,0.497289776802063,0.399301853563104,0.23110250501256197,0.437706819602421,0.45982929744890794,0.4735064607645779,0.55107957976205,0.537991056484835,0.106626028854017,0.22139758865038603,0.599350246999945,0.130717387389658,0.07175804606614301,0.16361781627970903,0.144097512155505,2.0,0.050378050335815994,0.3375814910445892,0.6068434573286468,0.27780878601771963,0.018632304094074608,0.06746644586678259,0.8293192456055833,0.08244551805489661,0.037713600683929385,0.28714858522652636,0.6044359998416321,0.2802479394213887
213,1763,23447.421899,0.599454324869882,230.25,0.294910768313067,0.569733511833918,0.463562233107431,0.483719611451739,0.18728544190526,0.536097501715024,0.5525556405385339,0.5587679062570841,0.631603605690457,0.63111961597488,0.166199424791904,0.149439353495836,0.6668795375596911,0.199064911476203,0.044111924090732994,0.21939438971735198,0.21343226340554997,2.0,0.05309848888289364,0.39955394122572174,0.5536841058846801,0.33291828928332795,0.027571026916571297,0.08572750194663448,0.6013481123692955,0.28338467264616524,0.051536678824396415,0.30907518390033895,0.5180143351555723,0.3712597762370102
214,1766,19540.112351,0.5704077567373,230.33333333,0.434365281036922,0.546861519132342,0.418561648471015,0.45370948229517294,0.34868888258934005,0.493690305948257,0.5184673156057089,0.509963750839233,0.639402227742331,0.6300091096333089,0.132363695544856,0.110267931967974,0.610990570272718,0.156198614622865,0.071773588497724,0.17605173076902103,0.17528659488473597,2.0,0.03332950489861609,0.4723372268676761,0.6188801820829433,0.2656988093563632,0.019088907683534204,0.0850681218132378,0.6973461830314913,0.19053783745271094,0.02822869701044889,0.3802178564241957,0.6415723629783329,0.24326760052967392
215,1783,44789.769142000005,0.5805163402406,249.05263158,0.5041521377033661,0.5737276926636701,0.4808643836724129,0.50173057615757,0.47606758177280395,0.5857682198286059,0.589764596521854,0.581735725700855,0.6199902251362801,0.6422778211534019,0.177492667268962,0.155774190106936,0.601061215251684,0.252940252795815,0.14715374456718602,0.240252390503883,0.24060668498277699,2.0,0.017050513260894185,0.5370902785989979,0.5055712066644946,0.3848705494005329,0.021897238688543295,0.14599743195809467,0.7429004062742435,0.1503087938250001,0.027370731383561997,0.46490114584565173,0.8029721013641266,0.10182504440188156
216,1786,56570.523287,0.536887455342421,301.43283582,0.47038644345680103,0.5061094061572949,0.311599836974847,0.366775308800216,0.27528101854985304,0.435526626239909,0.469550258747422,0.370888678891824,0.538865196527821,0.583879794224654,0.051748306422187994,0.016123937030674,0.530187292559312,0.10673996562709899,-0.021887913994067,0.04872879779066,0.12852222583081502,2.0,0.011663452587505408,0.4908952688226603,0.44015989449975346,0.458233485651132,0.014437112256182603,0.0194589395667912,0.38944890347385525,0.5169747156224795,0.02024959803807849,0.32285558413160936,0.42918000154455205,0.47082366582481133
217,1803,23545.501524,0.51341591207754,267.57142857,0.39561994302840503,0.456534380714099,0.318982239990007,0.326118799902144,0.258086602602686,0.367103491155874,0.38984542801266603,0.40394171078999797,0.498967028089932,0.518836484068916,0.023516594107302002,0.0172609334612,0.5506795807963331,0.039423078566047,-0.039857227116867996,0.068734433579569,0.081238354467565,2.0,0.029163748522599505,0.39663623777173845,0.7672260841841684,0.13000437957947109,0.0211531260528967,-0.028848331437967098,0.7039211342680958,0.18456464501327755,0.0287404647185688,0.26279781233696714,0.7735700449088305,0.12485459061922861
218,1804,28031.369604000003,0.5127917230129241,250.55555556,0.468482699394226,0.4756675654649729,0.316663834540283,0.30032624781131706,0.31863424301147497,0.431521591544151,0.449556314945221,0.41211089968681297,0.531537885069847,0.56887106359005,0.016792559467722002,0.010449756016896999,0.5529189074039461,0.09500538801774401,0.018977080499753003,0.07815126888453999,0.10871156074106698,2.0,0.021755786955356744,0.45422826331853816,0.758668714095429,0.13704782064678425,0.021245189907494997,-0.00020799820031980332,0.7801875380215055,0.11954943774003039,0.03544913756847379,0.27608244669437404,0.8217847480577347,0.08785909594466768
219,1805,154648.10150999998,0.584749272107182,259.45038168,0.49962952039679703,0.527339935410714,0.39971534083738497,0.431027019369429,0.36982885336322596,0.496383919664051,0.5486804205870279,0.535174113252889,0.639932111337565,0.563311786863251,0.113386178363884,0.087844876820313,0.636629466129386,0.16509922304987001,0.05690385129490401,0.18891633288475898,0.192763220329863,2.0,0.035888165237811194,0.46570406831410893,0.8946950229755157,0.04036691151945237,0.0286919678076709,0.05733785776164331,0.7849264176538313,0.11579298837194955,0.0387145754990722,0.36007513875010794,0.8162807615240562,0.09187980520001993
220,1806,66145.150525,0.502813714288049,285.15942029,0.399577111918099,0.4078729771456479,0.285061947054277,0.294780644824949,0.24908375115163897,0.3813972374645329,0.42615835823245,0.429800902635364,0.544294127720897,0.5251543966390321,0.022091016572431,-0.009916301256330001,0.558228824603356,0.06738977747085399,-0.04523798775894999,0.09529705694802601,0.103811124292344,2.0,0.04454287107182142,0.35339687438994216,0.9146599082195545,0.029540958074467036,0.029546119280248404,-0.03996816033580421,0.7605938768764224,0.13545367865889218,0.044711512270164115,0.22210964205129466,0.8736386655766493,0.05288680899989146
221,1808,29152.714549,0.557512037637757,230.875,0.42415559807649,0.448605509331593,0.39937715704848104,0.289933181439455,0.30220980856281104,0.381915325155625,0.427514080817883,0.40936100540252796,0.52618223371414,0.543943410309461,-0.01061356626451,0.07081408597665201,0.548740251706197,0.050330077053960996,-0.0016367098925489999,0.078248873138084,0.092692343518138,2.0,0.0302296120386858,0.40763656451151886,0.8266775999299407,0.08433149999419533,0.027205393221587507,-0.03981197615413773,0.9263377074689254,0.023732524953751007,0.03641599201812178,0.25293870422129505,0.919053834632137,0.027307606137288987
