,area,PT_NDVI_0,LT_mag,PT_NDVI_2,PT_NDVI_1,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_4,PT_NDVI_3,PT_NDMI_1,PT_NDMI_0,PT_NDVI_5,PT_NDMI_3,PT_NDMI_2,PT_NDMI_5,PT_NDMI_4,Perimeter,P/A,P/sqrt(A),Max.Distanc,D/A,D/sqrt(A),Shape Index,NDVI_slope,NDVI_intercept,NDVI_rvalue,NDVI_pvalue,NDMI_slope,NDMI_intercept,NDMI_rvalue,NDMI_pvalue,NBR_slope,NBR_intercept,NBR_rvalue,NBR_pvalue,label
651,81546.254617,0.41401001985,476.42857143,0.45056629595,0.33706420895000005,0.33704570946,0.14371305931,0.0,0.29705181779,0.24527291613,0.3385948997,0.36222121995,0.4453084936300001,-0.054437702540999985,0.078333304812,0.35563148334,0.031991722851,0.0,0.099728983253,0.0,0.020481588478000003,1931.5710731,6.2898047534,0.005315264052000001,501.27021642,1.6322939569,1.7743211622,-0.005121052722000014,0.40552149853,-0.15112838913241822,0.8083123709053797,0.030833337158800007,-0.0770434107638,0.8639035998987653,0.05902461602348143,0.06350365969100001,0.014415559512999996,0.7395950603059555,0.15313366359920302,1.0
414,1513929.5044,0.29638161582,713.1395151,0.29631945561,0.29780485893,0.10161766356,0.017254308324,0.11655843164,0.25595064394,0.20244843009,0.14793061018,0.41389168944,0.19972357418,-0.15337430592,-0.044001854424,0.34096740946000004,0.08879069208599999,-0.08754906328199999,-0.08405492241000001,-0.037677588041,0.085699278105,437.35604241,6.1221807478,0.025832148992,131.83129076,1.8453957692,1.7270353033,0.020389733489,0.24857219705700004,0.4140621618988371,0.4882775419991269,0.0188510242261,-0.1113261101917,0.3303807427318565,0.5871291212531933,0.034724260216199995,0.0438557041862,0.6072291409533703,0.2774185472847881,1.0
601,7277576.1131,0.25089448424000005,557.74369973,0.46647552806,0.37949325082,0.23732847474,0.16249477094,0.2969556113,0.33695913740999994,0.33535860017,0.47340575495,0.47802661561,0.53405440631,-0.044036461242,0.03044321247,0.52925637787,0.035035128522,0.024652279251,0.15852863991,0.035476510921,0.645696,677.84654639,20.920870049,0.056419744133,59.229000503,1.8280276403,5.9016684803,0.03110773416500001,0.3841380332389999,0.7874932805878138,0.1137733571938516,0.041595443397400005,-0.08285511071980001,0.8997278615533008,0.03753720549361349,0.066022495689,0.12296728788699995,0.939443385982378,0.017725215081085873,1.0
758,47190.903143,0.6063294311399999,293.0,0.53385084218,0.6121940123699999,0.47254180946,0.52683077065,0.45047410749,0.5815204252,0.6339531176600001,0.6748347580399999,0.70526743338,0.63778406611,0.20670210322,0.16517111764,0.7818267995,0.24576332611,0.19994374995,0.3651454571,0.28462410871,0.012396750921,2188.3318703,5.2084743571,0.0041923518717,740.05336325,1.7614096919,1.4692834892,0.051068216546000016,0.50097998107,0.8581452949394416,0.06275317531269209,0.040156706652,0.139965629062,0.9384286753523085,0.018169769831856718,0.047948698495,0.42967654032299984,0.8570330049465416,0.06348158246399427,1.0
604,4425.9873303,0.20806543715,424.875,0.38599457964,0.45035144314,0.17952034809,0.36864382774,0.23698872142,0.37941846251,0.4503981173,0.53666197136,0.49317071587,0.5081106685100001,0.032835263526,0.072995791212,0.47555410489,0.061867296696,-0.036140284268,0.24389058352,0.12322540861,0.0037729241933,6493.636963,4.9497474683,0.0013474729262,2319.1560582,1.7677669530000002,1.3962979813999998,0.015758145972999994,0.41536186449100004,0.5197564511599755,0.3693636211288687,0.0581476332866,-0.08930724624299999,0.8703159978872826,0.05495784323706437,0.054944568312,0.22958851513000006,0.7845990828154596,0.1160513043671984,1.0
672,78016.267176,0.4890611281600001,308.3030303000001,0.5991015751300001,0.60401128962,0.36633804905,0.5037335402600001,0.5622205672999999,0.54473607158,0.61556240409,0.5040603924600001,0.61767915124,0.65594060835,0.14890207054,0.053365497047,0.54925380213,0.2008887486,0.20241698628,0.21895395837,0.26661062346000003,0.019942599307,1947.4331723,6.2319242159,0.0064058131632,625.53997385,2.0017722644,1.757993364,-0.009093739887000008,0.632478504955,-0.3744176360836436,0.5346620071607497,0.020429741284000002,0.146265253598,0.7651799336903498,0.13167850124195285,0.0053995541190000156,0.529863932781,0.18360099180303852,0.7675520394025654,1.0
759,33298.998497,0.61146227772,286.0,0.6643883401699999,0.57149399194,0.5899466352,0.58127144575,0.60022280216,0.57858256698,0.67702727968,0.66182707873,0.7138255915100001,0.6273164207299999,0.25802586214,0.26199372492,0.7563195737899999,0.26492513174000004,0.28442895548,0.36425672824,0.3455596214,0.0097018050685,2428.78889,4.8542390097000006,0.0033767574744,845.35104347,1.6895400127000002,1.3693555427000002,0.04190884150400002,0.5409422591159999,0.9173021296506348,0.028191191215783312,0.027359239812,0.221361540364,0.8933110486089286,0.04115645191332573,0.023791574348,0.548411511616,0.8109169320646843,0.09585058164545547,1.0
726,33055.32695,0.46547508694,250.76190476,0.5775061562899999,0.6091367652899999,0.35699893483999995,0.50245188353,0.50084755936,0.39504073005,0.53036260554,0.54586085728,0.60273158853,0.28230681384,0.16049218443,0.06161468918,0.6682968513399999,0.19821413253,0.1505312633,0.192987872,0.18798619155,0.010240794239,2389.9099718,4.9471786173000005,0.0037439384309,873.72869535,1.8086421538,1.3955733219,0.01435456043400001,0.504931953756,0.14911620736356362,0.8108453259441414,0.010244630339000006,0.147308437745,0.7648617439697184,0.13193940831124684,0.011633299367999995,0.460012829048,0.3118176655911138,0.6095123746139941,2.0
171,19571.904746,0.5402579001,232.09090909,0.57860879217,0.49154692463,0.48933499796,0.47830071705,0.5068127793899999,0.5734127266100001,0.54992815086,0.59108633654,0.5684230463800001,0.5765202999100001,0.17165331926,0.16001031867,0.6467251471100001,0.23542339248,0.18407551093,0.29235535945,0.22605872112,0.0075458483866,2968.5197545,4.7328638265,0.0026949458524,1060.1856266,1.6903085095,1.3351162356,0.030017069917000018,0.482313632289,0.8617634639472953,0.060402019622054964,0.028338729057000012,0.13689707347699998,0.9384119947766104,0.0181771075967573,0.02686866104500001,0.459302158955,0.9092131470575362,0.03238649449256233,2.0
715,515698.55244,0.29362809419,710.60050569,0.45317484819,0.33900533886,0.059220604553,0.22885826132,0.24287312028,0.36452149452,0.33189582257,0.44669177532,0.5150187831199999,0.3461684122300001,0.029343537751,-0.13447726148,0.48840784859,0.098561928961,-0.0022395391534,0.15112196041,0.054121521875,0.060366787093,899.55144075,7.3690589836,0.014829550219,220.98150171,1.8102641457,2.0787731595,0.03606489543899999,0.3201603598810001,0.7009704080027874,0.1872386248866864,0.029991790634640005,-0.023793489935200016,0.7890584654603253,0.1125471103991698,0.05246897302899999,0.165561175715,0.9219878991986754,0.025848089081097918,1.0
