,PT_NDMI_0,PT_NDMI_1,PT_NDMI_2,PT_NDMI_3,PT_NDMI_4,PT_NDMI_5,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_0,PT_NDVI_1,PT_NDVI_2,PT_NDVI_3,PT_NDVI_4,PT_NDVI_5,area,LT_mag,TXU_asm,TXU_HOM,TXU_ENT,TXU_CON,Area,Perimeter,P/A,P/sqrt(A),Max.Distanc,D/A,D/sqrt(A),Shape Index,ndvi_rvalue,ndmi_rvalue,nbr_rvalue,ndvi_slope,ndmi_slope,nbr_slope,label
18354,0.17,0.11,0.11,0.07,0.05,0.09,0.49,0.41,0.42,0.39,0.37,0.41,0.46,0.52,0.41,0.46,0.49,0.53,30382.9,287.76,0.07,0.01,2.23,29969.25,0.0,0.01,2864.36,5.83,0.0,815.69,1.66,1.64,0.3727013383951446,-0.7990858564510241,-0.7193999971224001,0.008857142857142857,-0.017714285714285714,-0.015714285714285715,2.0
15701,-0.0,0.1,0.14,0.1,0.1,0.1,0.29,0.41,0.45,0.43,0.4,0.44,0.4,0.49,0.59,0.53,0.51,0.56,896852.88,458.95,0.03,0.02,3.28,29507.3,0.0,0.13,1082.25,11.98,0.03,204.69,2.27,3.38,0.6486012726380208,0.5242186517143347,0.6391872270970742,0.022857142857142864,0.013142857142857144,0.02000000000000001,2.0
2779,0.11,0.04,0.0,0.06,-0.01,0.02,0.38,0.15,0.22,0.3,0.24,0.31,0.39,0.19,0.34,0.43,0.4,0.46,19072.55,506.12,0.14,0.02,1.19,21347.34,0.0,0.01,3905.95,6.49,0.0,1223.53,2.03,1.83,0.5944597342432929,-0.6542051241183461,0.0,0.030571428571428562,-0.015428571428571429,0.0,1.0
25318,-0.17,-0.18,-0.15,-0.11,-0.02,-0.0,0.02,0.03,0.05,0.12,0.24,0.27,0.25,0.32,0.28,0.34,0.39,0.39,6474.98,566.23,0.09,0.01,0.34,24471.7,0.0,0.0,5137.82,4.99,0.0,1805.25,1.75,1.41,0.9085546544757864,0.9430351680193578,0.9524289943219288,0.02771428571428572,0.039142857142857146,0.055714285714285716,1.0
15784,-0.03,0.09,0.15,0.16,0.12,0.14,0.26,0.38,0.46,0.48,0.44,0.49,0.37,0.51,0.61,0.54,0.52,0.61,174402.29,553.61,0.03,0.02,3.32,54252.29,0.0,0.03,1073.23,5.21,0.01,343.47,1.67,1.47,0.7026647629419274,0.7188517102134763,0.8312087235611871,0.03314285714285715,0.02714285714285715,0.03857142857142857,2.0
712,0.12,0.04,0.11,-0.02,-0.02,-0.05,0.39,0.31,0.3,0.21,0.23,0.19,0.38,0.34,0.23,0.34,0.35,0.37,59262.63,339.67,0.04,0.02,2.8,12777.38,0.0,0.02,1776.04,5.18,0.0,564.67,1.65,1.46,0.08917887569597194,-0.8598492073268774,-0.941905243954942,0.0025714285714285665,-0.03314285714285714,-0.038000000000000006,1.0
28636,0.03,0.04,0.15,0.12,0.17,0.06,0.34,0.35,0.48,0.45,0.47,0.37,0.42,0.46,0.48,0.58,0.56,0.46,47479.38,392.21,0.06,0.01,2.4,33173.88,0.0,0.02,2334.79,5.94,0.0,745.82,1.9,1.67,0.510507356085846,0.4575325300965818,0.4036607591611587,0.01714285714285715,0.014571428571428569,0.013714285714285714,2.0
49291,-0.12,-0.04,-0.04,-0.02,0.06,0.15,0.11,0.17,0.19,0.22,0.33,0.39,0.31,0.33,0.44,0.46,0.51,0.34,11153.65,307.36,0.11,0.01,0.79,9759.23,0.0,0.01,3887.35,4.8,0.0,1185.32,1.46,1.35,0.4610162827162617,0.95067098268028,0.9721014453487951,0.020285714285714292,0.047714285714285716,0.05457142857142857,2.0
48750,-0.1,0.02,0.01,0.06,0.04,0.08,0.15,0.27,0.26,0.32,0.3,0.33,0.31,0.46,0.45,0.49,0.5,0.51,35552.43,316.59,0.05,0.02,2.52,13039.32,0.0,0.01,2136.43,4.68,0.0,704.46,1.54,1.32,0.8386150853186709,0.8518329899680253,0.8562280389101851,0.03314285714285714,0.028857142857142862,0.03,2.0
13673,-0.1,0.08,0.07,0.04,0.14,0.15,0.2,0.37,0.4,0.27,0.42,0.45,0.39,0.44,0.53,0.46,0.55,0.44,8105.35,422.08,0.1,0.01,0.48,11716.75,0.0,0.01,4638.31,5.0,0.0,1466.76,1.58,1.41,0.4508099235662758,0.8270665559360278,0.7025443925125361,0.014571428571428569,0.04,0.03628571428571428,1.0
