,PT_NDMI_0,PT_NDMI_1,PT_NDMI_2,PT_NDMI_3,PT_NDMI_4,PT_NDMI_5,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_0,PT_NDVI_1,PT_NDVI_2,PT_NDVI_3,PT_NDVI_4,PT_NDVI_5,area,LT_mag,TXU_asm,TXU_HOM,TXU_ENT,TXU_CON,Area,Perimeter,P/A,P/sqrt(A),Max.Distanc,D/A,D/sqrt(A),Shape Index,ndvi_rvalue,ndmi_rvalue,nbr_rvalue,ndvi_slope,ndmi_slope,nbr_slope,label
22598,-0.18,-0.15,-0.16,-0.01,0.02,0.17,0.04,0.08,0.05,0.24,0.25,0.4,0.25,0.31,0.32,0.41,0.45,0.25,10169.68,698.06,0.09,0.02,0.44,3860.13,0.0,0.01,5675.11,6.31,0.0,2059.19,2.29,1.78,0.330179514885913,0.9400993927240604,0.9295457490296916,0.014571428571428569,0.06885714285714288,0.07142857142857142,1.0
4030,0.04,-0.17,-0.09,-0.07,-0.08,-0.05,0.28,0.04,0.14,0.17,0.19,0.23,0.35,0.23,0.31,0.37,0.4,0.44,60936.34,474.6,0.07,0.03,2.2,19012.68,0.0,0.02,2669.06,7.68,0.01,881.25,2.54,2.17,0.7419408268023742,-0.12609766499825606,0.1496380111854417,0.029142857142857137,-0.004571428571428571,0.006571428571428568,1.0
6904,-0.06,0.16,0.11,0.22,0.19,0.07,0.09,0.44,0.4,0.54,0.51,0.41,0.33,0.59,0.55,0.52,0.68,0.55,22793.71,406.31,0.09,0.02,1.9,6877.92,0.0,0.01,3044.64,5.12,0.0,951.45,1.6,1.45,0.6199895495328117,0.4483319418862036,0.6477070971929475,0.0382857142857143,0.024285714285714285,0.05571428571428571,1.0
40054,-0.31,-0.11,-0.08,-0.09,-0.08,-0.07,-0.25,0.07,0.15,0.16,0.19,0.21,0.23,0.38,0.4,0.37,0.4,0.42,4867.03,833.44,0.07,0.02,0.15,773.42,0.0,0.0,6596.71,5.33,0.0,2102.3,1.7,1.5,0.7571387276614444,0.7400781194648514,0.8270641562667214,0.028,0.03657142857142857,0.07628571428571428,1.0
44830,0.02,0.09,0.21,0.27,0.3,0.3,0.31,0.38,0.52,0.57,0.61,0.6,0.42,0.48,0.62,0.71,0.7,0.69,192323.8,458.8,0.05,0.01,2.71,27301.95,0.0,0.06,1985.44,10.5,0.01,422.43,2.23,2.96,0.9025825017214733,0.9476695879607626,0.9379351883447944,0.05999999999999999,0.0597142857142857,0.06257142857142856,2.0
16942,0.56,0.0,0.07,0.12,0.16,0.17,0.81,0.3,0.36,0.42,0.37,0.5,0.22,0.43,0.42,0.5,0.06,0.58,85536.82,391.17,0.05,0.01,2.65,52292.13,0.0,0.02,2335.06,7.53,0.01,656.9,2.12,2.12,0.21357737440289667,-0.3863319888715696,-0.3717100014545104,0.021999999999999995,-0.04057142857142857,-0.036571428571428574,2.0
26295,0.14,0.02,0.02,0.07,0.02,0.08,0.51,0.32,0.31,0.37,0.31,0.4,0.5,0.41,0.45,0.34,0.52,0.55,12412.39,332.8,0.08,0.01,0.89,6181.2,0.0,0.01,3549.32,4.59,0.0,1300.7,1.68,1.29,0.32281001460172243,-0.2764442778589453,-0.3576439247572917,0.01342857142857144,-0.0071428571428571435,-0.014857142857142853,1.0
32393,0.14,0.18,0.13,0.21,0.29,0.23,0.45,0.48,0.41,0.48,0.61,0.55,0.49,0.54,0.53,0.54,0.65,0.64,106902.3,469.12,0.04,0.01,2.97,22983.66,0.0,0.02,1587.64,6.07,0.01,497.08,1.9,1.71,0.9000890208654037,0.7675716410280294,0.7125134090394105,0.031142857142857142,0.02457142857142857,0.027428571428571438,2.0
15999,-0.17,-0.05,-0.06,0.02,0.09,0.14,-0.02,0.14,0.18,0.26,0.38,0.42,0.23,0.33,0.44,0.33,0.44,0.54,21477.71,803.61,0.09,0.03,1.49,1235.27,0.0,0.01,3357.25,5.86,0.0,1188.61,2.08,1.65,0.86259399512604,0.9765780840978252,0.9849397709505464,0.05057142857142858,0.058571428571428566,0.0857142857142857,1.0
34241,0.08,0.06,-0.01,0.01,0.04,0.04,0.48,0.36,0.24,0.28,0.33,0.32,0.47,0.38,0.36,0.42,0.43,0.43,17848.1,340.79,0.1,0.02,1.35,6065.07,0.0,0.01,3148.43,4.87,0.0,1036.68,1.6,1.37,0.013576884666042704,-0.39279220242478624,-0.5513787397264641,0.00028571428571428763,-0.006857142857142857,-0.024285714285714282,1.0
3288,0.02,-0.09,-0.02,0.05,0.04,0.07,0.21,0.07,0.18,0.25,0.28,0.35,0.28,0.27,0.33,0.34,0.44,0.46,7544.91,589.89,0.09,0.02,0.36,4110.07,0.0,0.0,5137.82,4.99,0.0,1914.75,1.86,1.41,0.9497672655098506,0.6492665387400819,0.7841773486922774,0.04057142857142857,0.020285714285714292,0.04,1.0
45628,0.21,0.12,0.12,0.21,0.17,0.23,0.54,0.38,0.4,0.46,0.45,0.49,0.61,0.56,0.55,0.53,0.61,0.62,32434.27,491.69,0.07,0.01,2.34,132957.88,0.0,0.01,3270.4,6.77,0.0,1016.06,2.1,1.91,0.2535462764185549,0.3784011738747128,0.01826249220277336,0.005142857142857138,0.00971428571428572,0.0005714285714285656,1.0
30058,0.34,0.15,0.26,0.29,0.31,0.35,0.68,0.48,0.6,0.59,0.65,0.68,0.65,0.58,0.64,0.52,0.67,0.71,25024.82,321.73,0.08,0.01,2.11,27343.06,0.0,0.01,2761.41,4.88,0.0,771.84,1.36,1.38,0.3540089421165861,0.4093666417547307,0.35255589335359194,0.012857142857142857,0.01599999999999999,0.014285714285714287,1.0
48204,0.11,0.14,0.16,0.19,0.28,0.22,0.39,0.37,0.4,0.44,0.52,0.49,0.36,0.41,0.44,0.41,0.34,0.45,23640.78,383.05,0.09,0.01,1.37,107951.88,0.0,0.01,3710.65,6.48,0.0,1313.4,2.29,1.83,0.2577447136879728,0.8779589522814029,0.8881513819521879,0.006000000000000007,0.028571428571428574,0.028285714285714282,1.0
39851,0.05,0.17,0.18,0.21,0.19,0.25,0.37,0.49,0.49,0.51,0.51,0.58,0.41,0.51,0.57,0.58,0.57,0.63,45296.5,284.52,0.09,0.01,1.63,16659.02,0.0,0.02,2818.21,6.75,0.01,1016.12,2.43,1.9,0.9030699906365166,0.8637474484078568,0.88512956166578,0.03685714285714286,0.03114285714285714,0.03228571428571428,2.0
30525,-0.12,-0.2,-0.11,-0.07,0.02,0.03,0.14,0.05,0.15,0.21,0.33,0.32,0.28,0.31,0.34,0.39,0.51,0.53,4578.82,299.38,0.21,0.01,0.52,12869.7,0.0,0.0,6493.64,4.95,0.0,2319.16,1.77,1.4,0.9689170642487986,0.8781430150952475,0.8783100656536799,0.054285714285714284,0.04142857142857143,0.051428571428571435,2.0
6596,-0.08,-0.04,-0.05,-0.09,-0.03,-0.03,0.16,0.16,0.1,0.11,0.21,0.19,0.33,0.24,0.23,0.28,0.34,0.31,9621.47,433.61,0.11,0.01,0.66,34249.01,0.0,0.01,3905.95,4.59,0.0,1235.17,1.45,1.29,0.28909301541595744,0.4968472027264952,0.383183560382342,0.0071428571428571435,0.006857142857142858,0.008857142857142855,1.0
35778,0.02,0.12,0.18,0.19,0.18,0.19,0.31,0.41,0.43,0.53,0.5,0.44,0.4,0.46,0.4,0.59,0.6,0.47,213989.89,471.77,0.02,0.01,3.34,46464.11,0.0,0.03,1062.85,5.71,0.01,315.48,1.7,1.61,0.5770859433215143,0.824428049446322,0.7094060994004029,0.02742857142857142,0.029714285714285717,0.029142857142857137,2.0
49974,0.1,0.13,0.12,0.21,0.24,0.27,0.32,0.34,0.32,0.42,0.48,0.5,0.38,0.39,0.38,0.44,0.46,0.46,65689.11,482.24,0.05,0.01,2.64,94589.36,0.0,0.02,2033.99,6.37,0.01,627.99,1.97,1.8,0.9135891753315194,0.9584337008858934,0.932409649833184,0.01914285714285715,0.03628571428571429,0.040571428571428564,1.0
234,0.04,0.01,0.08,0.06,0.11,0.04,0.3,0.24,0.34,0.33,0.39,0.29,0.41,0.38,0.45,0.49,0.53,0.44,212141.01,471.73,0.02,0.02,3.32,34179.34,0.0,0.03,1049.66,5.68,0.01,301.05,1.63,1.6,0.6330740705991446,0.42732738696715183,0.40961957516654995,0.01828571428571429,0.008,0.011142857142857144,2.0
36322,0.16,0.11,0.26,0.15,0.18,0.15,0.41,0.37,0.54,0.46,0.49,0.48,0.4,0.47,0.2,0.54,0.48,0.56,25795.04,559.58,0.07,0.01,2.31,63091.56,0.0,0.01,2283.48,4.44,0.0,768.56,1.49,1.25,0.4766255330646778,0.05306452500993244,0.5568828467583405,0.03342857142857143,0.0014285714285714266,0.018000000000000002,1.0
13156,-0.17,-0.14,-0.1,-0.13,-0.04,-0.12,0.02,0.07,0.16,0.09,0.23,0.12,0.26,0.31,0.36,0.26,0.4,0.28,61494.75,514.36,0.05,0.01,2.61,65973.82,0.0,0.02,2220.05,6.47,0.01,686.1,2.0,1.83,0.2513577172234825,0.6299753047065555,0.662541348868913,0.007714285714285719,0.014857142857142859,0.026000000000000002,1.0
13500,-0.04,-0.04,-0.01,-0.06,0.02,-0.07,0.15,0.2,0.28,0.2,0.33,0.2,0.22,0.43,0.47,0.35,0.37,0.34,8918.07,329.07,0.04,0.02,2.69,8284.62,0.0,0.01,4802.02,5.34,0.0,1864.93,2.07,1.51,0.18607595930545134,-0.03213568479932423,0.4561244738048104,0.008571428571428575,-0.0005714285714285727,0.016,1.0
8738,0.11,0.15,0.22,0.19,0.29,0.24,0.39,0.42,0.56,0.45,0.62,0.58,0.51,0.5,0.65,0.48,0.67,0.65,71347.97,364.67,0.04,0.02,2.95,16863.85,0.0,0.02,1463.35,4.7,0.0,467.45,1.5,1.33,0.6283634249528272,0.8618916073713345,0.8083596836503292,0.029714285714285717,0.029714285714285707,0.04114285714285714,2.0
37823,0.01,0.1,0.19,0.05,0.13,0.14,0.31,0.4,0.5,0.26,0.37,0.44,0.4,0.53,0.61,0.5,0.59,0.6,276099.5,492.53,0.03,0.01,3.15,26349.4,0.0,0.05,1362.44,7.9,0.01,300.08,1.74,2.23,0.7117796586509119,0.4933080798541533,0.19672296361688466,0.030571428571428562,0.017142857142857144,0.009142857142857142,2.0
46072,0.13,0.04,0.11,0.09,0.1,0.11,0.27,0.33,0.39,0.36,0.37,0.39,0.14,0.5,0.53,0.54,0.55,0.58,109216.37,319.31,0.04,0.01,2.82,35975.59,0.0,0.03,1918.68,7.4,0.01,453.6,1.75,2.09,0.7628265186496859,0.10423622761248263,0.8054718613168028,0.06742857142857142,0.0017142857142857144,0.019714285714285715,2.0
37102,0.06,-0.13,0.02,0.03,0.03,0.05,0.28,0.11,0.33,0.32,0.15,0.34,0.27,0.36,0.52,0.52,0.2,0.56,17886.77,447.0,0.06,0.01,0.51,29741.35,0.0,0.01,3830.35,5.75,0.0,1456.19,2.18,1.62,0.3452744474942984,0.3353019683634225,0.21970416708323973,0.02771428571428573,0.012571428571428572,0.011714285714285714,1.0
11023,0.21,0.07,0.25,0.13,-0.05,0.34,0.5,0.38,0.56,0.34,0.24,0.61,0.51,0.45,0.56,0.31,0.38,0.35,221332.15,288.46,0.05,0.03,2.71,4593.39,0.0,0.06,1842.53,10.36,0.02,498.34,2.8,2.92,-0.6951536782349903,0.06555047917660482,-0.033934892104086116,-0.036000000000000004,0.004857142857142864,-0.002571428571428575,1.0
31282,-0.14,-0.04,-0.06,-0.03,-0.05,-0.06,0.1,0.24,0.2,0.26,0.23,0.23,0.28,0.4,0.4,0.48,0.43,0.42,28018.88,489.89,0.09,0.05,0.24,3182.89,0.0,0.01,2854.35,5.55,0.0,927.66,1.8,1.56,0.6997419624519974,0.5436602822195623,0.634655384004574,0.02485714285714285,0.011428571428571429,0.019428571428571437,2.0
47420,-0.08,0.05,0.06,0.08,0.09,0.16,0.16,0.29,0.3,0.34,0.36,0.43,0.32,0.48,0.48,0.53,0.57,0.61,181734.94,357.83,0.04,0.01,2.88,23088.35,0.0,0.05,1806.93,9.04,0.01,507.34,2.54,2.55,0.9360189303071093,0.909651272624855,0.94753658434735,0.050571428571428566,0.038285714285714284,0.045714285714285714,2.0
16173,-0.23,-0.14,-0.05,-0.03,0.09,0.03,-0.11,0.02,0.19,0.24,0.38,0.31,0.25,0.36,0.46,0.47,0.42,0.45,5636.61,851.45,0.07,0.01,0.24,4073.82,0.0,0.0,5397.31,4.82,0.0,1816.59,1.62,1.36,0.7550674275211021,0.9298682141390422,0.9366516778253334,0.034,0.057428571428571426,0.09228571428571428,1.0
51997,-0.03,-0.02,-0.01,0.11,0.03,0.05,0.09,0.11,0.16,0.32,0.24,0.27,0.26,0.38,0.44,0.06,0.41,0.45,24802.2,601.69,0.08,0.01,2.07,20728.37,0.0,0.01,2581.32,4.72,0.0,806.66,1.47,1.33,0.2345306590178817,0.6747968605759149,0.8388606414467151,0.018857142857142857,0.019142857142857142,0.04142857142857143,1.0
39955,-0.2,-0.02,-0.01,-0.03,-0.0,0.04,-0.08,0.19,0.23,0.2,0.28,0.32,0.33,0.36,0.44,0.45,0.45,0.51,56588.81,464.69,0.05,0.02,2.66,9379.25,0.0,0.02,2473.77,6.83,0.0,637.09,1.76,1.93,0.9523150939741684,0.792962502946771,0.8483387972145549,0.03371428571428572,0.035428571428571434,0.064,1.0
49896,-0.05,-0.02,-0.04,-0.03,-0.09,-0.08,0.07,0.11,0.0,0.0,-0.05,-0.04,0.18,0.22,0.06,0.1,0.09,0.08,14643.56,436.75,0.11,0.01,1.77,17037.75,0.0,0.01,3215.9,4.75,0.0,966.04,1.43,1.34,-0.7168891499730906,-0.6713000646685762,-0.8760011064588782,-0.024285714285714282,-0.01,-0.029428571428571432,2.0
34851,-0.01,-0.06,-0.09,0.04,0.2,0.09,0.29,0.21,0.17,0.33,0.49,0.41,0.42,0.39,0.41,0.51,0.33,0.56,204205.36,417.36,0.02,0.02,3.28,84220.61,0.0,0.04,1458.52,7.31,0.01,513.21,2.57,2.06,0.39535113634388797,0.7078518995927371,0.7100716024967262,0.017714285714285724,0.040285714285714286,0.045714285714285714,2.0
10891,0.05,-0.29,-0.21,-0.04,-0.02,0.06,0.35,-0.18,-0.03,0.23,0.23,0.35,0.47,0.19,0.31,0.46,0.31,0.44,6269.82,334.0,0.09,0.01,0.27,40698.21,0.0,0.01,6184.42,5.77,0.0,2354.96,2.2,1.63,0.17234286362724488,0.3844327447152565,0.3684031873277816,0.010285714285714287,0.029428571428571432,0.042571428571428566,1.0
6996,0.06,0.08,0.01,0.09,0.11,0.08,0.25,0.34,0.16,0.41,0.41,0.38,0.42,0.48,0.29,0.48,0.58,0.54,23955.19,362.7,0.06,0.01,2.41,50702.37,0.0,0.01,3258.13,5.62,0.0,1023.93,1.77,1.59,0.5715901050387361,0.4207295508007937,0.5900833747428782,0.031142857142857142,0.007714285714285714,0.031714285714285716,1.0
48613,-0.08,0.02,0.09,0.12,0.14,0.16,0.18,0.26,0.32,0.37,0.38,0.42,0.33,0.41,0.48,0.51,0.57,0.51,17441.78,302.64,0.06,0.02,0.9,963.88,0.0,0.01,3246.82,4.95,0.0,1322.12,2.02,1.4,0.8823133227954384,0.941421901803566,0.9708959510756128,0.040285714285714286,0.045428571428571436,0.046,2.0
44608,0.24,0.14,0.19,0.26,0.25,0.27,0.47,0.39,0.46,0.51,0.52,0.54,0.4,0.5,0.53,0.6,0.61,0.61,15266.36,301.56,0.1,0.01,0.91,29483.69,0.0,0.01,4205.4,6.21,0.0,1509.81,2.23,1.75,0.9305903984767288,0.5868022988728283,0.7792301398379348,0.04142857142857142,0.01571428571428572,0.022571428571428583,1.0
16007,0.13,0.21,0.22,0.17,0.23,0.15,0.44,0.53,0.56,0.52,0.57,0.52,0.54,0.61,0.66,0.6,0.62,0.61,6644.68,410.4,0.1,0.01,0.36,14541.7,0.0,0.01,6279.56,6.1,0.0,2058.3,2.0,1.72,0.4406637907582845,0.14387999942448002,0.5589967763965187,0.009142857142857137,0.0031428571428571426,0.013714285714285708,1.0
37116,0.26,0.04,0.14,0.23,0.41,0.24,0.6,0.25,0.43,0.54,0.7,0.56,0.61,0.33,0.6,0.65,0.34,0.64,19677.42,563.68,0.11,0.01,1.36,18487.1,0.0,0.01,3710.65,5.83,0.0,1139.42,1.79,1.64,0.08146081125521737,0.4738035414793428,0.43199012605281983,0.006571428571428577,0.031428571428571424,0.036000000000000004,1.0
46109,0.14,0.11,0.13,0.11,0.1,0.11,0.38,0.39,0.41,0.36,0.26,0.31,0.36,0.55,0.6,0.55,0.51,0.56,42338.5,281.89,0.06,0.02,2.51,6824.85,0.0,0.01,2348.51,5.63,0.0,638.86,1.53,1.59,0.5266436679348864,-0.7100716024967263,-0.7492163497013872,0.02371428571428572,-0.005714285714285716,-0.02257142857142857,2.0
17357,-0.05,0.06,0.12,0.16,0.2,0.19,0.24,0.38,0.43,0.49,0.51,0.54,0.41,0.49,0.55,0.58,0.59,0.63,173484.78,356.47,0.03,0.02,3.08,17400.51,0.0,0.04,1744.74,8.17,0.01,425.99,2.0,2.31,0.960221850070426,0.9339214778889108,0.9461301388144848,0.040857142857142856,0.047428571428571424,0.05571428571428573,2.0
28681,0.06,0.1,0.18,0.11,0.22,0.2,0.33,0.39,0.51,0.44,0.55,0.53,0.36,0.5,0.61,0.6,0.65,0.57,167253.03,419.42,0.03,0.02,3.32,33617.61,0.0,0.02,1087.2,5.19,0.01,290.67,1.39,1.46,0.7587996845769154,0.8294762733381154,0.8681513334972399,0.042571428571428566,0.028285714285714282,0.040285714285714286,2.0
16985,0.66,0.32,0.3,0.38,0.4,0.29,0.87,0.63,0.63,0.68,0.67,0.6,0.33,0.62,0.62,0.64,0.35,0.63,4676.66,293.83,0.08,0.01,0.16,3838.31,0.0,0.0,7421.3,5.66,0.0,2933.53,2.24,1.6,0.2550751870417387,-0.5899543125894428,-0.6464419191713551,0.020285714285714285,-0.04371428571428572,-0.03371428571428572,1.0
33825,0.04,0.07,0.11,0.23,0.22,0.14,0.28,0.33,0.42,0.56,0.54,0.41,0.4,0.51,0.52,0.61,0.64,0.4,58821.12,423.56,0.05,0.01,2.59,73788.14,0.0,0.02,2017.44,5.52,0.01,713.27,1.95,1.56,0.253711506984426,0.7365311166282573,0.6830924111781616,0.013714285714285714,0.030571428571428562,0.04057142857142857,1.0
37802,-0.07,-0.06,0.04,0.05,-0.03,0.05,0.21,0.18,0.31,0.34,0.24,0.35,0.31,0.37,0.43,0.48,0.41,0.42,202456.56,388.18,0.03,0.02,3.3,36079.09,0.0,0.03,1094.19,5.7,0.01,291.19,1.52,1.61,0.6652612771500802,0.6628201444834446,0.6813405783082673,0.02057142857142857,0.02,0.026000000000000002,2.0
39873,-0.16,-0.01,-0.06,-0.08,-0.02,-0.07,0.03,0.21,0.19,0.17,0.24,0.22,0.35,0.33,0.41,0.3,0.37,0.46,5383.26,372.67,0.15,0.03,1.44,2766.52,0.0,0.0,5194.91,4.43,0.0,1659.45,1.41,1.25,0.5194992955455178,0.39933499538383305,0.7192140224413277,0.016000000000000004,0.011428571428571429,0.029142857142857137,1.0
33626,0.1,-0.01,0.09,0.13,0.09,0.1,0.32,0.21,0.39,0.43,0.36,0.39,0.32,0.33,0.49,0.54,0.54,0.55,19787.56,457.32,0.1,0.01,1.55,100913.84,0.0,0.01,3055.83,4.8,0.0,1029.59,1.62,1.35,0.906003506986232,0.3784011738747127,0.5777324938387023,0.052285714285714296,0.009714285714285715,0.024000000000000004,1.0
30395,-0.08,-0.14,-0.12,-0.07,-0.0,0.04,0.2,0.12,0.14,0.2,0.26,0.33,0.3,0.34,0.37,0.39,0.46,0.55,5698.21,321.5,0.05,0.0,0.23,3854.36,0.0,0.0,5194.91,4.43,0.0,1855.32,1.58,1.25,0.9658958939644634,0.8240934443029831,0.7786933135789624,0.04657142857142858,0.030571428571428583,0.032285714285714286,2.0
43829,-0.07,0.11,0.13,0.17,0.14,0.15,0.07,0.35,0.38,0.4,0.35,0.37,0.24,0.46,0.51,0.54,0.47,0.51,20661.55,405.12,0.08,0.02,1.97,11293.23,0.0,0.01,3044.64,5.12,0.0,1029.15,1.73,1.45,0.689447399499504,0.7468273910842671,0.6555622813752364,0.040285714285714286,0.03514285714285715,0.043428571428571434,1.0
40556,0.16,0.03,-0.17,0.11,-0.02,0.04,0.5,0.38,-0.04,0.39,0.27,0.3,0.49,0.4,0.24,0.51,0.45,0.5,16953.47,507.64,0.1,0.02,1.31,21480.46,0.0,0.01,3014.9,4.6,0.0,1037.16,1.58,1.3,0.2456785293770993,-0.21907910565724545,-0.260132990857236,0.01342857142857143,-0.01342857142857143,-0.02571428571428571,1.0
47746,0.11,0.33,0.31,0.33,0.36,0.33,0.39,0.58,0.61,0.64,0.67,0.65,0.5,0.72,0.38,0.73,0.77,0.73,16613.34,309.21,0.12,0.01,1.65,3797.72,0.0,0.01,2698.65,4.18,0.0,954.12,1.48,1.18,0.5540834561041348,0.7027642214999339,0.8306786106418643,0.04714285714285714,0.034571428571428565,0.04571428571428573,2.0
39368,0.02,0.09,0.09,0.13,0.17,0.21,0.21,0.39,0.38,0.43,0.47,0.52,0.3,0.48,0.56,0.55,0.58,0.57,4602556.74,494.74,0.02,0.02,3.57,17114.19,0.0,0.34,594.11,14.24,0.05,85.74,2.05,4.02,0.8172126105969744,0.9804506567982814,0.9227724824277952,0.04685714285714285,0.035142857142857135,0.05257142857142857,1.0
20965,0.05,-0.06,-0.03,0.02,0.03,0.04,0.21,0.13,0.19,0.23,0.2,0.31,0.21,0.34,0.37,0.35,0.25,0.5,691428.95,621.4,0.03,0.01,3.34,80171.12,0.0,0.1,1069.22,10.35,0.02,245.78,2.38,2.92,0.6107519352782504,0.3313860604559646,0.681865143844743,0.03314285714285714,0.007714285714285714,0.021428571428571432,1.0
31883,-0.0,-0.07,-0.02,0.08,0.09,0.02,0.23,0.22,0.26,0.39,0.41,0.33,0.26,0.37,0.46,0.53,0.52,0.5,163029.2,430.9,0.05,0.02,2.75,33006.3,0.0,0.05,2072.18,9.8,0.01,487.29,2.3,2.76,0.8702866616971133,0.597012087551354,0.7809129001694392,0.04914285714285714,0.01942857142857143,0.03428571428571428,2.0
703,-0.08,-0.06,-0.0,0.18,0.15,0.09,0.1,0.14,0.24,0.46,0.45,0.39,0.25,0.31,0.33,0.44,0.51,0.44,7128.71,613.64,0.08,0.01,0.42,12379.22,0.0,0.0,4770.84,4.81,0.0,1427.32,1.44,1.36,0.9018543143159516,0.8104474342604513,0.8777908163823701,0.04742857142857143,0.04742857142857143,0.07428571428571429,1.0
41062,0.13,0.1,0.27,0.17,0.19,0.28,0.36,0.34,0.51,0.47,0.5,0.52,0.38,0.43,0.28,0.54,0.54,0.55,75724.54,563.58,0.04,0.01,2.92,214879.35,0.0,0.02,1643.64,5.41,0.01,561.85,1.85,1.53,0.7007043474093017,0.6742143456559584,0.8337370932657134,0.04114285714285716,0.02628571428571429,0.035428571428571434,2.0
29501,0.11,0.15,0.23,0.24,0.26,0.28,0.4,0.48,0.56,0.57,0.59,0.62,0.46,0.53,0.57,0.59,0.62,0.66,247342.85,391.02,0.03,0.01,3.04,36247.67,0.0,0.06,1627.25,9.69,0.01,404.24,2.41,2.73,0.9813835775305928,0.9528134146522924,0.9427012858194872,0.03685714285714286,0.03400000000000001,0.04114285714285714,2.0
46877,-0.1,-0.05,0.09,0.1,0.16,0.16,0.17,0.25,0.38,0.38,0.43,0.45,0.34,0.42,0.57,0.55,0.56,0.62,3245.14,337.5,0.15,0.02,1.06,14450.08,0.0,0.0,7421.3,4.9,0.0,2765.75,1.83,1.38,0.9027122110706696,0.9450492989805134,0.9440044680375314,0.051428571428571435,0.05542857142857144,0.055428571428571424,2.0
17615,0.11,0.06,0.09,0.09,0.12,0.1,0.37,0.29,0.34,0.37,0.38,0.4,0.4,0.34,0.38,0.37,0.25,0.4,4896.23,382.0,0.06,0.01,0.17,2717.66,0.0,0.0,5772.12,4.67,0.0,2061.47,1.67,1.32,-0.2634795772034444,0.3351005204472036,0.6217502212107084,-0.008000000000000002,0.0037142857142857147,0.012857142857142862,1.0
40096,-0.23,-0.1,-0.04,-0.04,-0.03,0.03,-0.16,0.06,0.2,0.22,0.24,0.33,0.16,0.31,0.44,0.45,0.39,0.54,52951.77,888.94,0.05,0.01,2.73,13930.91,0.0,0.02,2347.55,6.26,0.0,587.8,1.57,1.77,0.8688139364398988,0.9037164823047272,0.9225218562952672,0.06142857142857144,0.043142857142857136,0.086,1.0
4548,-0.12,-0.11,0.02,-0.05,-0.07,-0.09,0.0,0.05,0.23,0.17,0.2,0.16,0.18,0.26,0.3,0.39,0.41,0.4,6247.45,607.18,0.16,0.01,1.0,23879.82,0.0,0.01,6184.42,5.77,0.0,2229.82,2.08,1.63,0.9460139136164908,0.20965696734438366,0.7063216398635827,0.04685714285714285,0.005714285714285713,0.034,1.0
52188,-0.03,-0.04,0.04,0.08,0.06,0.09,0.2,0.16,0.27,0.32,0.24,0.29,0.35,0.35,0.42,0.37,0.33,0.41,214937.76,288.88,0.04,0.02,3.01,20363.13,0.0,0.05,1676.38,8.97,0.01,431.38,2.31,2.53,0.2820365577447668,0.9014600868406588,0.6679599984119888,0.005428571428571432,0.02685714285714285,0.02114285714285714,2.0
13229,-0.02,-0.02,-0.06,-0.08,-0.0,-0.07,0.15,0.2,0.19,0.15,0.27,0.18,0.26,0.41,0.39,0.33,0.43,0.29,19977.77,379.44,0.06,0.01,2.25,53343.0,0.0,0.01,3124.76,5.19,0.0,1113.37,1.85,1.46,0.11649863190419188,-0.3453156558979073,0.38635623073303615,0.0042857142857142825,-0.006000000000000001,0.009142857142857144,1.0
32394,0.13,0.1,0.11,0.15,0.16,0.13,0.46,0.41,0.42,0.45,0.43,0.4,0.48,0.52,0.58,0.59,0.51,0.52,84824.47,358.35,0.06,0.01,2.53,43888.75,0.0,0.02,2133.62,7.27,0.01,691.87,2.36,2.05,0.22511727913228008,0.515687954032345,-0.4845437118523486,0.005142857142857148,0.006285714285714286,-0.0059999999999999975,2.0
10913,-0.11,-0.16,-0.06,0.06,-0.04,-0.08,0.11,0.08,0.19,0.28,0.13,0.15,0.28,0.34,0.38,0.43,0.17,0.32,8570.78,556.29,0.07,0.01,0.56,9575.73,0.0,0.01,4365.47,4.85,0.0,1543.43,1.71,1.37,-0.1549927205572201,0.4536602500820821,0.3317253117497601,-0.007428571428571431,0.018000000000000002,0.012571428571428572,1.0
27985,0.18,-0.02,0.11,0.12,0.18,0.16,0.54,0.29,0.42,0.45,0.5,0.5,0.48,0.45,0.46,0.63,0.57,0.63,23945.76,300.98,0.15,0.05,1.07,1817.69,0.0,0.02,5277.37,9.54,0.01,1586.13,2.87,2.69,0.8162087976131875,0.3611817100879852,0.2762874885599713,0.03657142857142857,0.014571428571428569,0.01314285714285714,2.0
31324,-0.01,0.02,-0.04,0.08,0.1,-0.14,0.14,0.29,0.2,0.35,0.4,-0.04,0.3,0.34,0.39,0.47,0.53,0.35,5963.99,596.5,0.05,0.01,0.23,10454.02,0.0,0.0,5194.91,4.43,0.0,1998.25,1.7,1.25,0.5523101007599409,-0.17761576098293397,-0.1400207453509326,0.025714285714285717,-0.008285714285714287,-0.012000000000000002,1.0
9118,-0.11,-0.15,0.06,-0.11,-0.06,-0.02,0.03,0.04,0.3,0.15,0.2,0.23,0.21,0.3,0.24,0.4,0.43,0.47,17828.63,628.41,0.08,0.02,2.09,27895.23,0.0,0.01,5027.33,7.54,0.0,1605.92,2.41,2.13,0.9254821475438166,0.3863575340158349,0.6630276636812454,0.05285714285714285,0.015714285714285715,0.038000000000000006,1.0
