,area,PT_NDVI_0,LT_mag,PT_NDVI_2,PT_NDVI_1,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_4,PT_NDVI_3,PT_NDMI_1,PT_NDMI_0,PT_NDVI_5,PT_NDMI_3,PT_NDMI_2,PT_NDMI_5,PT_NDMI_4,label
2043,109118.88506,0.512512957744109,284.1011236,0.535839800498424,0.54530223562967,0.373482270806264,0.343813952372735,0.379006169927426,0.32145554275441,0.479756535780736,0.502992175175593,0.537315596066988,0.43210200406611,0.035049257808311,0.057310871054263,0.613978368196732,0.007976884820194,0.057996596797565,0.154706696172555,0.149423792456778,2.0
2054,20734.618147,0.542648321873433,258.0,0.612693437047907,0.588550781881487,0.379406554473413,0.390427136743391,0.460847232792829,0.30340920630339,0.482614058900524,0.483394698516743,0.55244530536033,0.40586627254615,0.066616904607194,0.057508193459865,0.546678307894114,-0.014527343411779,0.121820880855257,0.134621286915766,0.139656755469135,2.0
2056,24104.821115,0.500948560792346,241.13333333,0.494043798640717,0.503698763251305,0.280869099289872,0.281589211137206,0.356721012398254,0.34339270342228,0.423217121944871,0.454545993444531,0.55047462984573,0.473963108173637,-0.011154894880881,-0.012234110600412,0.579774418542551,0.035510920594598,0.037630535770468,0.12398522555135,0.097334199130189,2.0
2081,116296.06772,0.536461053989254,305.84684685,0.558755399372715,0.610126236310372,0.393555985906949,0.465763157384621,0.449219875252591,0.472961542672581,0.552890851090734,0.574963061425548,0.643973151938273,0.546386562972455,0.156347538586961,0.091607680855444,0.594956029636356,0.152282012067735,0.137324235320333,0.237633515865757,0.217272804691814,2.0
2084,15114.745139,0.532145124894601,291.0,0.484305186404122,0.576868068288874,0.344083746826207,0.365628018975258,0.472242297949614,0.358999044412658,0.484020364505273,0.506361916109368,0.545331904181728,0.470266361599383,0.059548676065687,0.042460568281563,0.606368053842474,0.051895850896835,0.136905664647067,0.176342599369861,0.15757792443037,2.0
2091,10505.751706,0.598931014537811,232.75,0.484986179753354,0.70002659998442,0.4310388910143,0.587925525088059,0.302892751599613,0.337367934615988,0.51021198379366,0.493357416830565,0.62533260960328,0.465545295100463,0.240501742613943,0.123942879469771,0.644084014390644,0.019394334901958,0.03140402082844,0.162917538693077,0.168334324893199,1.0
2093,30973.304062,0.494996429554054,306.86206897,0.511832791247538,0.681181535834358,0.583581463566848,0.542786314373925,0.268572908160942,0.324314051972968,0.392396569784199,0.418810769915581,0.553009411586182,0.477623349853924,0.185464062151455,0.253429081823145,0.546430539871965,0.010416618722957,-0.011798846335816,0.126553069667092,0.071540367274013,1.0
2094,13272.193658,0.598195930322011,259.4,0.580281193057696,0.650776649222654,0.537285812199116,0.562043826494898,0.456956340620915,0.422494262456894,0.544764875123898,0.491761761407057,0.612692755957445,0.443920701742172,0.207099181732961,0.182214764878154,0.488363477090995,0.10129077732563,0.140069944473604,0.20730375063916,0.203043919367095,1.0
2095,33176.707226,0.620671303073565,223.14285714,0.565240712960561,0.689803045988083,0.503033083180586,0.590549961725871,0.549489492177963,0.449553287029266,0.605650944511096,0.568940134843191,0.672007699807485,0.499005074799061,0.248990086217721,0.169397267947594,0.609448379278183,0.118046190092961,0.209459238747756,0.226824080447356,0.247774970531464,1.0
2144,32470.604181,0.520610428575812,262.0,0.644649532334558,0.623624470727197,0.38037525965222,0.473602741442878,0.532154567796609,0.434739988425682,0.595016269848265,0.577859450003196,0.691427358265581,0.505950597339663,0.152241005851277,0.071918902099775,0.638717385201619,0.11047931911488,0.188440358844297,0.219910651702305,0.234630572641718,2.0
