,PT_NDVI_0,LT_mag,PT_NDVI_2,PT_NDVI_1,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_4,PT_NDVI_3,PT_NDMI_1,PT_NDMI_0,PT_NDVI_5,PT_NDMI_3,PT_NDMI_2,PT_NDMI_5,PT_NDMI_4,Area,Perimeter,P/A,P/sqrt(A),Max.Distanc,D/A,D/sqrt(A),Shape Index,NDVI_slope,NDVI_intercept,NDVI_rvalue,NDVI_pvalue,NDMI_slope,NDMI_intercept,NDMI_rvalue,NDMI_pvalue,NBR_slope,NBR_intercept,NBR_rvalue,NBR_pvalue,label
619,0.2459470557,252.46666667,0.51352482062,0.43151258774,0.60444268163,0.26804942168,0.36059706788,0.37200197901,0.46132460419,0.4248964507900001,0.6268892276,0.56101589844,0.035809310502,0.25633618883000003,0.46474913929,0.099685952032,0.06446755806,0.10517692897,0.14023357142999998,50892.982006,0.016169675114,2419.9889303000004,6.255432421699999,0.0047754562172,714.70521832,1.8474424154,1.7646249065,0.017983751008000006,0.4655870817139999,0.3668537623987529,0.5436066924929437,0.021450125030599995,0.024724289107000003,0.8457904191336777,0.07098898826517902,0.041442159453000005,0.25304742635099997,0.8923488611101481,0.04170822679777213,2.0
118,0.5587622303700001,274.33333333,0.7032022695800001,0.61863620815,0.4926013821,0.53296820584,0.64543621007,0.63047239969,0.63566515634,0.6342022136600001,0.63015539709,0.65643209219,0.19562535851,0.14119666599000005,0.67163246713,0.32770032867,0.3467194736,0.34869563736000003,0.3205325031,21063.651201,0.007006859216100001,2538.8655795,4.2177569494,0.0022867373846,828.57649282,1.3764944032,1.1898072684,0.003294564547000001,0.6461279931869999,0.15467932285114774,0.8038443484864861,0.02799535872000001,0.223868584088,0.6928089814145426,0.19469107020199064,0.01926969619100001,0.557939748547,0.6537570437518411,0.2314472924080164,2.0
768,0.5492337048100001,371.61538462,0.46617396318,0.60357395524,0.4518001214399999,0.49782778323,0.42125350805,0.5776717634399999,0.50905259095,0.52905548994,0.5227094271399999,0.6500702415199999,0.18437039639,0.16505336905999998,0.5355914601899999,0.24388278027,0.1880961025,0.24252553781,0.19191873393,25438.79135,0.0091628158981,3003.8592754,5.2463138987,0.0033334639214,1092.8143303,1.9086270308,1.4799578268,-0.007942952614000033,0.579452667296,-0.17455870281043925,0.7788788852315232,0.012013291426999995,0.17411883589900007,0.6271385261769258,0.25747400464384,0.015025449631999994,0.461895878226,0.4179910048251253,0.4837286396020629,1.0
631,0.27920297271,262.29411765,0.5614150343100001,0.46923571052,0.36955050407,0.35223619971000003,0.3971217707900001,0.41867367758,0.43692427129,0.48935068647,0.61507972302,0.5485083355899999,0.051572845076,0.15018392534000002,0.54065048088,0.094842594151,0.09944969088,0.17555069096,0.11046251678,29873.102429,0.010779783409,2748.6294023,5.4433105395000005,0.0033767574744,861.00569242,1.7051121392,1.5355295532,0.019649422943,0.48802958803499996,0.5942781286365564,0.2906007849528169,0.0258968517668,0.028685112269,0.9163817501356404,0.028659057538593793,0.03140314740199999,0.32465187896200004,0.9829541265732566,0.0026647052953088605,2.0
799,0.25423387679000004,448.86666667,0.20919273268,0.28352578686,0.18576383416,0.23359053801,0.20422243064,0.34991584236,0.22345622686,0.40200790325,0.30889206161,0.14541013101,0.047192786457,-0.0039933859918,0.30742045711,0.18305648031,0.054487945452,0.1819739723,0.02686985952,20685.25689,0.0075458483866,3055.829159,4.801960384,0.0023182800799,938.82987095,1.4752866122,1.3546080146,0.014748866942999997,0.20664163302500008,0.3258299122275986,0.59260264701751,0.0241944285754,0.026132923081599983,0.4957516994799381,0.39569324923508137,0.035606852670000015,0.17581803021399994,0.6412514764611613,0.2435810505474791,3.0
907,0.30388638065,428.4137931,0.3737325063800001,0.34062312529,0.35554985149,0.34725008649000005,0.32840981051,0.38085945525,0.5075463808699999,0.5277084379,0.4511541766800001,0.43546127365,0.123308109,0.1349574259,0.5442672352000001,0.14514918658,0.10051910837,0.27267970116,0.31286637655,63770.12937,0.015091696773,1979.0131697,5.4650404085,0.0048583827276,637.09227304,1.7593288764,1.5416594361000002,0.048470989012000025,0.283634696404,0.9756042728931104,0.0045573130497069654,0.051109045250000006,0.03757736058199998,0.8471914111876285,0.07003928927200448,0.05400532731799999,0.25633885225,0.919911310078394,0.026878397664033785,3.0
490,0.54027594747,354.15384615,0.62708956648,0.57881127016,0.3437940426,0.45190839026,0.4342183962100001,0.52588976557,0.3686366584699999,0.5200602106100001,0.37573278111,0.5429711003600001,0.12295313028,0.045663331283,0.62567302665,0.22027037313,0.089268343422,0.17559640996,0.15996291870999998,20752.26523,0.0075458483866,2808.0592272,4.6031716446,0.0024104328486,897.0016167000001,1.4704292441999998,1.2985307466,-0.015763327238999997,0.5973455306690001,-0.240618720481381,0.696617240930886,0.0175981134648,0.100815894706,0.5551963786951988,0.3313158552085961,0.007072190295999999,0.4389261133360001,0.17139472374753467,0.7828466607310368,2.0
685,0.47252426077,242.41666667,0.56102438709,0.5882087016800001,0.3784724772,0.44397741206,0.41944980271,0.51116419014,0.4808824851199999,0.47975704337,0.55408165735,0.6379066477800001,0.13127061845000002,0.077827648109,0.54110344017,0.19438231956,0.143181056,0.16148259535,0.16603105712000002,18802.496085,0.007006859216100001,2837.5556477,4.4589632137,0.0023025627456,932.46484928,1.4652845538,1.2578502993,-0.010115325276000007,0.606810942642,-0.4163405568432427,0.4856384697160619,0.008327395492000001,0.13428734282,0.5459792649069279,0.3411123904378692,0.013299194502999984,0.427148603171,0.5890720101665684,0.2959446214229741,2.0
578,0.50862986099,266.06451613,0.53709604355,0.5618540309100001,0.42188697304,0.43440235625,0.45558871052,0.5941337650399999,0.57334191428,0.5519473165500001,0.36645988558,0.52475263205,0.11913601383,0.10086097645,0.64203868905,0.32487591173,0.18941108485,0.2700365059,0.31239572167,92339.420004,0.024793501842,2044.1902501,7.1191737393,0.007473313716300002,616.16447456,2.1458775406,2.0082818336000003,-0.001026684169000003,0.529520308735,-0.016167303207838418,0.9794160470096998,0.04247856209600001,0.11573536130799995,0.7696160018757625,0.12805707076205286,0.03528431243600002,0.41602987522,0.7732907962843517,0.12507996732597992,2.0
720,0.4530640098800001,297.72222222,0.51548914048,0.4545700364600001,0.37875413431,0.4306733813600001,0.41325307621,0.61852099167,0.48773088654,0.35649963617,0.54708797667,0.31205493468,0.12503775068,0.044566751106,0.4577625135600001,0.32430451827,0.10527335902,0.15361561792,0.16483536859,24943.565036,0.0080848375571,2473.7664621,4.472135955,0.0025424068323000003,777.91553761,1.406334874,1.261566261,0.003798379039,0.4459977832530001,0.06657513698490138,0.9152965619973679,0.011671774405,0.139597999681,0.2123554613747465,0.7316667202797076,-0.007386968005000018,0.4834964984050001,-0.1173175627922164,0.8509699984754966,2.0
